"","Year","Police Region","Local Government Area","Incidents Recorded"
"271",2017,"1 North West Metro","Moreland",10525
"272",2017,"1 North West Metro","Nillumbik",1845
"273",2017,"1 North West Metro","Whittlesea",11342
"274",2017,"1 North West Metro","Wyndham",10855
"275",2017,"1 North West Metro","Yarra",10562
"276",2017,"1 North West Metro","Total",144912
"277",2017,"2 Eastern","Alpine",310
"278",2017,"2 Eastern","Bass Coast",1936
"279",2017,"2 Eastern","Baw Baw",2766
"280",2017,"2 Eastern","Benalla",976
"281",2017,"2 Eastern","Boroondara",5741
"282",2017,"2 Eastern","East Gippsland",2973
"283",2017,"2 Eastern","Greater Shepparton",5940
"284",2017,"2 Eastern","Indigo",377
"285",2017,"2 Eastern","Knox",8432
"286",2017,"2 Eastern","Latrobe",9282
"287",2017,"2 Eastern","Manningham",3699
"288",2017,"2 Eastern","Mansfield",494
"289",2017,"2 Eastern","Maroondah",6300
"290",2017,"2 Eastern","Mitchell",3059
"291",2017,"2 Eastern","Moira",1450
"292",2017,"2 Eastern","Monash",8175
"293",2017,"2 Eastern","Murrindindi",546
"294",2017,"2 Eastern","South Gippsland",1004
"295",2017,"2 Eastern","Strathbogie",438
"296",2017,"2 Eastern","Towong",174
"297",2017,"2 Eastern","Wangaratta",1780
"298",2017,"2 Eastern","Wellington",2722
"299",2017,"2 Eastern","Whitehorse",6513
"300",2017,"2 Eastern","Wodonga",2423
"301",2017,"2 Eastern","Yarra Ranges",5720
"302",2017,"2 Eastern","Total",83230
"303",2017,"3 Southern Metro","Bayside",3831
"304",2017,"3 Southern Metro","Cardinia",4350
"305",2017,"3 Southern Metro","Casey",15066
"306",2017,"3 Southern Metro","Frankston",10703
"307",2017,"3 Southern Metro","Glen Eira",5349
"308",2017,"3 Southern Metro","Greater Dandenong",13669
"309",2017,"3 Southern Metro","Kingston",7696
"310",2017,"3 Southern Metro","Mornington Peninsula",8463
"311",2017,"3 Southern Metro","Port Phillip",9689
"312",2017,"3 Southern Metro","Stonnington",7895
"313",2017,"3 Southern Metro","Total",86711
"314",2017,"4 Western","Ararat",912
"315",2017,"4 Western","Ballarat",8958
"316",2017,"4 Western","Buloke",158
"317",2017,"4 Western","Campaspe",2505
"318",2017,"4 Western","Central Goldfields",859
"319",2017,"4 Western","Colac-Otway",1381
"320",2017,"4 Western","Corangamite",709
"321",2017,"4 Western","Gannawarra",444
"322",2017,"4 Western","Glenelg",1243
"323",2017,"4 Western","Golden Plains",499
"324",2017,"4 Western","Greater Bendigo",7200
"325",2017,"4 Western","Greater Geelong",17116
"326",2017,"4 Western","Hepburn",660
"327",2017,"4 Western","Hindmarsh",278
"328",2017,"4 Western","Horsham",1575
"329",2017,"4 Western","Loddon",295
"330",2017,"4 Western","Macedon Ranges",1600
"331",2017,"4 Western","Mildura",4804
"332",2017,"4 Western","Moorabool",1737
"333",2017,"4 Western","Mount Alexander",767
"334",2017,"4 Western","Moyne",465
"335",2017,"4 Western","Northern Grampians",842
"336",2017,"4 Western","Pyrenees",357
"337",2017,"4 Western","Queenscliffe",126
"338",2017,"4 Western","Southern Grampians",984
"339",2017,"4 Western","Surf Coast",996
"340",2017,"4 Western","Swan Hill",1773
"341",2017,"4 Western","Warrnambool",2650
"342",2017,"4 Western","West Wimmera",126
"343",2017,"4 Western","Yarriambiack",355
"344",2017,"4 Western","Total",62374
"345",2017,"Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",1476
"346",2017,"Justice Institutions and Immigration Facilities","Total",1476
"347",2017,"Unincorporated Vic","Unincorporated Vic",119
"348",2017,"Unincorporated Vic","Total",119
"349",2016,"1 North West Metro","Banyule",7482
"350",2016,"1 North West Metro","Brimbank",15099
"351",2016,"1 North West Metro","Darebin",13227
"352",2016,"1 North West Metro","Hobsons Bay",5340
"353",2016,"1 North West Metro","Hume",17663
"354",2016,"1 North West Metro","Maribyrnong",7190
"355",2016,"1 North West Metro","Melbourne",28254
"356",2016,"1 North West Metro","Melton",9066
"357",2016,"1 North West Metro","Moonee Valley",7741
"358",2016,"1 North West Metro","Moreland",12121
"359",2016,"1 North West Metro","Nillumbik",2264
"360",2016,"1 North West Metro","Whittlesea",13079
"361",2016,"1 North West Metro","Wyndham",12370
"362",2016,"1 North West Metro","Yarra",11293
"363",2016,"1 North West Metro","Total",162189
"364",2016,"2 Eastern","Alpine",267
"365",2016,"2 Eastern","Bass Coast",2070
"366",2016,"2 Eastern","Baw Baw",2921
"367",2016,"2 Eastern","Benalla",1019
"368",2016,"2 Eastern","Boroondara",7061
"369",2016,"2 Eastern","East Gippsland",3096
"370",2016,"2 Eastern","Greater Shepparton",6329
"371",2016,"2 Eastern","Indigo",319
"372",2016,"2 Eastern","Knox",9168
"373",2016,"2 Eastern","Latrobe",10450
"374",2016,"2 Eastern","Manningham",3961
"375",2016,"2 Eastern","Mansfield",481
"376",2016,"2 Eastern","Maroondah",6768
"377",2016,"2 Eastern","Mitchell",3228
"378",2016,"2 Eastern","Moira",1369
"379",2016,"2 Eastern","Monash",8962
"380",2016,"2 Eastern","Murrindindi",547
"381",2016,"2 Eastern","South Gippsland",1139
"382",2016,"2 Eastern","Strathbogie",479
"383",2016,"2 Eastern","Towong",176
"384",2016,"2 Eastern","Wangaratta",1811
"385",2016,"2 Eastern","Wellington",3318
"386",2016,"2 Eastern","Whitehorse",6354
"387",2016,"2 Eastern","Wodonga",2496
"388",2016,"2 Eastern","Yarra Ranges",6453
"389",2016,"2 Eastern","Total",90242
"390",2016,"3 Southern Metro","Bayside",4207
"391",2016,"3 Southern Metro","Cardinia",5383
"392",2016,"3 Southern Metro","Casey",18201
"393",2016,"3 Southern Metro","Frankston",12487
"394",2016,"3 Southern Metro","Glen Eira",5675
"395",2016,"3 Southern Metro","Greater Dandenong",15470
"396",2016,"3 Southern Metro","Kingston",8656
"397",2016,"3 Southern Metro","Mornington Peninsula",9116
"398",2016,"3 Southern Metro","Port Phillip",10487
"399",2016,"3 Southern Metro","Stonnington",9177
"400",2016,"3 Southern Metro","Total",98859
"401",2016,"4 Western","Ararat",867
"402",2016,"4 Western","Ballarat",9475
"403",2016,"4 Western","Buloke",169
"404",2016,"4 Western","Campaspe",2815
"405",2016,"4 Western","Central Goldfields",1013
"406",2016,"4 Western","Colac-Otway",1445
"407",2016,"4 Western","Corangamite",733
"408",2016,"4 Western","Gannawarra",491
"409",2016,"4 Western","Glenelg",1374
"410",2016,"4 Western","Golden Plains",646
"411",2016,"4 Western","Greater Bendigo",7933
"412",2016,"4 Western","Greater Geelong",18628
"413",2016,"4 Western","Hepburn",729
"414",2016,"4 Western","Hindmarsh",235
"415",2016,"4 Western","Horsham",1880
"416",2016,"4 Western","Loddon",382
"417",2016,"4 Western","Macedon Ranges",1646
"418",2016,"4 Western","Mildura",5091
"419",2016,"4 Western","Moorabool",2005
"420",2016,"4 Western","Mount Alexander",951
"421",2016,"4 Western","Moyne",491
"422",2016,"4 Western","Northern Grampians",936
"423",2016,"4 Western","Pyrenees",391
"424",2016,"4 Western","Queenscliffe",124
"425",2016,"4 Western","Southern Grampians",987
"426",2016,"4 Western","Surf Coast",1093
"427",2016,"4 Western","Swan Hill",1735
"428",2016,"4 Western","Warrnambool",2492
"429",2016,"4 Western","West Wimmera",108
"430",2016,"4 Western","Yarriambiack",330
"431",2016,"4 Western","Total",67195
"432",2016,"Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",1016
"433",2016,"Justice Institutions and Immigration Facilities","Total",1016
"434",2016,"Unincorporated Vic","Unincorporated Vic",121
"435",2016,"Unincorporated Vic","Total",121
"436",2015,"1 North West Metro","Banyule",6857
"437",2015,"1 North West Metro","Brimbank",14821
"438",2015,"1 North West Metro","Darebin",11474
"439",2015,"1 North West Metro","Hobsons Bay",5358
"440",2015,"1 North West Metro","Hume",14882
"441",2015,"1 North West Metro","Maribyrnong",6909
"442",2015,"1 North West Metro","Melbourne",24848
"443",2015,"1 North West Metro","Melton",8376
"444",2015,"1 North West Metro","Moonee Valley",6957
"445",2015,"1 North West Metro","Moreland",11167
"446",2015,"1 North West Metro","Nillumbik",1941
"447",2015,"1 North West Metro","Whittlesea",10378
"448",2015,"1 North West Metro","Wyndham",11322
"449",2015,"1 North West Metro","Yarra",10051
"450",2015,"1 North West Metro","Total",145341
"451",2015,"2 Eastern","Alpine",357
"452",2015,"2 Eastern","Bass Coast",1929
"453",2015,"2 Eastern","Baw Baw",2490
"454",2015,"2 Eastern","Benalla",810
"455",2015,"2 Eastern","Boroondara",5897
"456",2015,"2 Eastern","East Gippsland",3147
"457",2015,"2 Eastern","Greater Shepparton",5498
"458",2015,"2 Eastern","Indigo",380
"459",2015,"2 Eastern","Knox",7355
"460",2015,"2 Eastern","Latrobe",9019
"461",2015,"2 Eastern","Manningham",3354
"462",2015,"2 Eastern","Mansfield",339
"463",2015,"2 Eastern","Maroondah",5792
"464",2015,"2 Eastern","Mitchell",2656
"465",2015,"2 Eastern","Moira",1104
"466",2015,"2 Eastern","Monash",7525
"467",2015,"2 Eastern","Murrindindi",509
"468",2015,"2 Eastern","South Gippsland",907
"469",2015,"2 Eastern","Strathbogie",359
"470",2015,"2 Eastern","Towong",167
"471",2015,"2 Eastern","Wangaratta",1629
"472",2015,"2 Eastern","Wellington",2965
"473",2015,"2 Eastern","Whitehorse",5781
"474",2015,"2 Eastern","Wodonga",2617
"475",2015,"2 Eastern","Yarra Ranges",5442
"476",2015,"2 Eastern","Total",78028
"477",2015,"3 Southern Metro","Bayside",3643
"478",2015,"3 Southern Metro","Cardinia",4679
"479",2015,"3 Southern Metro","Casey",15157
"480",2015,"3 Southern Metro","Frankston",10925
"481",2015,"3 Southern Metro","Glen Eira",5141
"482",2015,"3 Southern Metro","Greater Dandenong",13515
"483",2015,"3 Southern Metro","Kingston",8065
"484",2015,"3 Southern Metro","Mornington Peninsula",8134
"485",2015,"3 Southern Metro","Port Phillip",9807
"486",2015,"3 Southern Metro","Stonnington",7776
"487",2015,"3 Southern Metro","Total",86842
"488",2015,"4 Western","Ararat",910
"489",2015,"4 Western","Ballarat",8730
"490",2015,"4 Western","Buloke",178
"491",2015,"4 Western","Campaspe",2332
"492",2015,"4 Western","Central Goldfields",846
"493",2015,"4 Western","Colac-Otway",1193
"494",2015,"4 Western","Corangamite",507
"495",2015,"4 Western","Gannawarra",456
"496",2015,"4 Western","Glenelg",1227
"497",2015,"4 Western","Golden Plains",543
"498",2015,"4 Western","Greater Bendigo",6349
"499",2015,"4 Western","Greater Geelong",15451
"500",2015,"4 Western","Hepburn",584
"501",2015,"4 Western","Hindmarsh",162
"502",2015,"4 Western","Horsham",1973
"503",2015,"4 Western","Loddon",313
"504",2015,"4 Western","Macedon Ranges",1518
"505",2015,"4 Western","Mildura",4680
"506",2015,"4 Western","Moorabool",1602
"507",2015,"4 Western","Mount Alexander",720
"508",2015,"4 Western","Moyne",407
"509",2015,"4 Western","Northern Grampians",811
"510",2015,"4 Western","Pyrenees",355
"511",2015,"4 Western","Queenscliffe",154
"512",2015,"4 Western","Southern Grampians",799
"513",2015,"4 Western","Surf Coast",1160
"514",2015,"4 Western","Swan Hill",1615
"515",2015,"4 Western","Warrnambool",2157
"516",2015,"4 Western","West Wimmera",103
"517",2015,"4 Western","Yarriambiack",315
"518",2015,"4 Western","Total",58150
"519",2015,"Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",777
